caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
10609,22.7,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",30.0 to 40.0 hours
10610,65.7,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
10611,75.8,2,10,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
10612,65,2,9,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",0.1 to 29.9 hours
10613,59.4,0,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
10614,38.5,1,8,Male,Living common-law,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",30.0 to 40.0 hours
10615,42.3,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$125,000 and more",30.0 to 40.0 hours
10616,59,2,9,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
10617,37.9,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10618,20.2,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",30.0 to 40.0 hours
10619,28.8,0,9,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$100,000 to $ 124,999",40.1 to 50.0 hours
10620,42.6,3,5,Male,"Single, never married","University certificate, diploma or degree above the bach...",Fair,"$125,000 and more",40.1 to 50.0 hours
10621,33.3,2,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10622,31.3,1,8,Female,Living common-law,Trade certificate or diploma,Very good,"Less than $25,000",Valid skip
10623,67.4,3,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
10624,57.8,2,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
10625,63.7,2,10,Female,Living common-law,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",30.0 to 40.0 hours
10626,60.3,0,8,Male,"Single, never married","University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",50.1 hours and more
10627,67.2,0,8,Male,Married,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",50.1 hours and more
10628,63.3,1,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",Valid skip
10629,63.4,1,8,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10630,18.4,0,9,Female,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
10631,46.4,3,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",50.1 hours and more
10632,36.3,0,9,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",30.0 to 40.0 hours
10633,16.4,0,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
10634,16,0,9,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
10635,61.8,1,7,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10636,72.5,1,NA,Female,Widowed,Less than high school diploma or its equivalent,Don't know,"Less than $25,000",Valid skip
10637,65.8,3,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$125,000 and more",Valid skip
10638,58.2,0,10,Female,Widowed,High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",Valid skip
10639,58.5,0,10,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",Valid skip
10640,52.4,0,7,Female,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10641,48.1,2,7,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",0.1 to 29.9 hours
10642,58.3,3,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10643,43.3,4,5,Female,Separated,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10644,63.8,6,10,Male,Married,University certificate or diploma below the bachelor's level,Fair,"Less than $25,000",Valid skip
10645,56.1,2,10,Female,Married,University certificate or diploma below the bachelor's level,Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
10646,68.2,3,7,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
10647,35.9,0,9,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10648,65,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
10649,62.3,3,6,Male,Divorced,Less than high school diploma or its equivalent,Good,"$50,000 to $74,999",40.1 to 50.0 hours
10650,43.5,1,7,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",30.0 to 40.0 hours
10651,74.4,1,7,Female,Separated,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",0.1 to 29.9 hours
10652,36.8,3,8,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10653,72.9,2,7,Female,Divorced,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
